date;rate;;;;;
05.01.2020;-0,12;;;;;
05.04.2020;-0,12 ;;;;;
05.05.2020;-0,13 ;;;;;
05.06.2020;-0,05 ;;;;;
05.07.2020;-0,12 ;;;;;
05.08.2020;-0,09 ;;;;;
05.11.2020;-0,06 ;;;;;
05.12.2020;-0,06 ;;;;;
05.13.2020;-0,09 ;;;;;
05.14.2020;-0,11 ;;;;;
05.15.2020;-0,12 ;;;;;
05.18.2020;-0,08 ;;;;;
05.19.2020;-0,08 ;;;;;
05.20.2020;-0,12 ;;;;;
05.21.2020;-0,10 ;;;;;
05.22.2020;-0,10 ;;;;;
05.26.2020;-0,05 ;;;;;
05.27.2020;-0,06 ;;;;;
05.28.2020;-0,08 ;;;;;
05.29.2020;-0,10 ;;;;;
06.01.2020;-0,09 ;;;;;
06.02.2020;-0,06 ;;;;;
06.03.2020;-0,02 ;;;;;
06.04.2020;0,03 ;;;;;
06.05.2020;0,06 ;;;;;
06.08.2020;0,04 ;;;;;
06.09.2020;0,01 ;;;;;
06.10.2020;-0,07 ;;;;;
06.11.2020;-0,14 ;;;;;
06.12.2020;-0,08 ;;;;;
06.15.2020;-0,09 ;;;;;
06.16.2020;-0,06 ;;;;;
06.17.2020;-0,06 ;;;;;
06.18.2020;-0,11 ;;;;;
06.19.2020;-0,13 ;;;;;
06.22.2020;-0,17 ;;;;;
06.23.2020;-0,18 ;;;;;
06.24.2020;-0,18 ;;;;;
06.25.2020;-0,20 ;;;;;
06.26.2020;-0,23 ;;;;;
06.29.2020;-0,22 ;;;;;
06.30.2020;-0,20 ;;;;;
07.01.2020;-0,20 ;;;;;
07.02.2020;-0,23 ;;;;;
07.06.2020;-0,24 ;;;;;
07.07.2020;-0,27 ;;;;;
07.08.2020;-0,24 ;;;;;
07.09.2020;-0,29 ;;;;;
07.10.2020;-0,27 ;;;;;
07.13.2020;-0,29 ;;;;;
07.14.2020;-0,30 ;;;;;
07.15.2020;-0,29 ;;;;;
07.16.2020;-0,31 ;;;;;
07.17.2020;-0,33 ;;;;;
07.20.2020;-0,34 ;;;;;
07.21.2020;-0,37 ;;;;;
07.22.2020;-0,37 ;;;;;
07.23.2020;-0,39 ;;;;;
07.24.2020;-0,41 ;;;;;
07.27.2020;-0,40 ;;;;;
07.28.2020;-0,43 ;;;;;
07.29.2020;-0,44 ;;;;;
07.30.2020;-0,46 ;;;;;
07.31.2020;-0,49 ;;;;;
08.03.2020;-0,49 ;;;;;
08.04.2020;-0,51 ;;;;;
08.05.2020;-0,51 ;;;;;
08.06.2020;-0,52 ;;;;;
08.07.2020;-0,48 ;;;;;
08.10.2020;-0,47 ;;;;;
08.11.2020;-0,43 ;;;;;
08.12.2020;-0,41 ;;;;;
08.13.2020;-0,37 ;;;;;
