Date, Open, High, Low, Close
02/18/22, 44471.73, 44630.34, 43894.12, 44102.29
02/17/22, 45146.36, 45184.18, 44400.35, 44461.61
02/16/22, 45242.67, 45622.12, 45034.13, 45485.15
02/15/22, 45109.84, 45492.44, 45109.84, 45467.84
02/14/22, 44772.04, 44964.50, 44321.13, 44670.32
02/11/22, 45752.49, 45951.22, 44670.80, 44852.30
02/10/22, 45958.29, 46638.86, 45501.42, 45711.77
02/09/22, 46208.84, 46539.79, 46208.84, 46524.40
02/08/22, 45304.87, 45883.26, 45179.19, 45789.32
02/07/22, 45562.94, 45748.68, 45243.85, 45363.68
02/04/22, 45199.19, 45867.03, 44938.07, 45482.72
02/03/22, 45653.82, 45865.07, 45116.04, 45179.62
02/02/22, 46265.17, 46380.92, 45891.79, 46321.49
02/01/22, 45790.65, 46077.91, 45321.16, 46037.46
01/31/22, 44653.66, 45681.15, 44557.82, 45677.13
01/28/22, 43770.19, 44705.40, 43266.29, 44699.51
01/27/22, 44403.34, 44749.44, 43470.68, 43637.55
01/26/22, 44779.92, 45103.21, 43512.30, 43958.22
01/25/22, 44099.31, 44677.71, 43431.14, 44102.32
01/24/22, 43774.64, 44776.08, 42706.01, 44708.28
01/21/22, 45203.14, 45502.15, 44458.77, 44480.38
01/20/22, 46106.33, 46671.80, 45322.14, 45369.23
01/19/22, 46532.32, 46728.81, 45883.65, 45903.33
01/18/22, 46810.16, 46827.46, 46292.08, 46372.72
01/14/22, 46960.09, 47333.69, 46776.59, 47316.14
01/13/22, 48142.57, 48195.67, 47212.00, 47297.36
01/12/22, 48152.01, 48293.19, 47795.18, 48002.87
01/11/22, 47453.82, 47942.89, 47163.27, 47933.95
01/10/22, 47173.26, 47479.38, 46517.48, 47455.34
01/07/22, 47755.80, 47931.23, 47391.90, 47528.28
01/06/22, 47711.56, 48079.18, 47433.96, 47764.14
01/05/22, 48775.90, 48864.71, 47761.45, 47770.39
01/04/22, 49060.58, 49145.48, 48617.32, 48846.02
01/03/22, 48790.14, 48929.48, 48525.23, 48929.18
12/31/21, 48726.78, 48862.68, 48633.97, 48634.31
12/30/21, 48898.68, 49074.71, 48740.60, 48773.20
12/29/21, 48840.04, 48968.85, 48684.09, 48870.99
12/28/21, 48961.68, 49090.79, 48759.21, 48815.33
12/27/21, 48417.15, 48919.54, 48409.41, 48918.18
12/23/21, 48087.01, 48449.32, 48070.57, 48302.65
12/22/21, 47506.69, 47995.23, 47483.26, 47987.53
12/21/21, 46959.50, 47544.95, 46832.06, 47527.23
12/20/21, 46599.84, 46643.95, 46196.53, 46594.03
12/17/21, 47205.89, 47603.56, 46855.28, 47172.38
12/16/21, 48203.78, 48250.51, 47320.45, 47503.92
12/15/21, 47272.73, 48038.19, 46950.99, 48013.53
12/14/21, 47255.73, 47532.34, 46991.06, 47254.19
12/13/21, 48045.05, 48067.37, 47612.36, 47631.05
12/10/21, 48044.54, 48155.40, 47716.96, 48094.69
12/09/21, 48054.72, 48159.47, 47749.36, 47756.80
12/08/21, 48097.09, 48275.54, 47932.86, 48232.99
12/07/21, 47626.95, 48137.42, 47626.95, 48019.47
12/06/21, 46674.37, 47227.06, 46378.20, 47007.56
12/03/21, 47152.05, 47241.04, 46006.94, 46441.66
12/02/21, 46194.80, 47135.24, 46194.80, 46955.02
12/01/21, 47493.85, 47780.92, 46192.41, 46216.66
11/30/21, 47585.95, 47743.01, 46835.60, 46906.96
11/29/21, 47865.25, 48076.78, 47534.77, 47856.44
11/26/21, 47755.96, 47832.05, 47204.63, 47329.19
11/24/21, 48070.57, 48462.57, 47960.24, 48443.39
11/23/21, 48212.23, 48451.98, 47879.44, 48305.06
11/22/21, 48721.57, 48946.73, 48278.46, 48284.07
11/19/21, 48680.46, 48756.13, 48502.30, 48528.59
11/18/21, 48725.99, 48730.06, 48341.05, 48652.55
11/17/21, 48750.09, 48760.70, 48518.32, 48580.23
11/16/21, 48565.82, 48905.48, 48547.59, 48782.07
11/15/21, 48720.70, 48738.44, 48472.65, 48582.45
11/12/21, 48368.44, 48652.61, 48292.71, 48599.73
11/11/21, 48369.10, 48376.43, 48243.95, 48255.53
11/10/21, 48434.19, 48645.84, 47997.55, 48176.47
11/09/21, 48875.62, 48895.65, 48508.90, 48665.92
11/08/21, 48887.23, 48947.86, 48766.77, 48824.98
11/05/21, 48808.97, 48971.62, 48554.77, 48742.86
11/04/21, 48461.06, 48634.63, 48383.83, 48545.12
11/03/21, 47998.88, 48416.40, 47942.17, 48388.08
11/02/21, 47913.90, 48056.50, 47867.72, 48031.14
11/01/21, 47795.68, 47899.22, 47636.01, 47894.10
10/29/21, 47327.07, 47699.80, 47327.07, 47670.90
10/28/21, 47233.71, 47601.23, 47233.71, 47593.04
10/27/21, 47461.65, 47492.93, 47072.51, 47072.64
10/26/21, 47610.28, 47716.64, 47369.87, 47427.78
10/25/21, 47278.47, 47470.06, 47093.08, 47403.82
10/22/21, 47166.94, 47334.15, 46937.67, 47159.44
10/21/21, 47035.99, 47263.95, 47006.79, 47249.35
10/20/21, 46970.33, 47137.83, 46961.03, 47083.90
10/19/21, 46756.42, 46931.78, 46694.57, 46904.78
10/18/21, 46251.23, 46600.80, 46189.01, 46582.91
10/15/21, 46412.37, 46505.06, 46333.26, 46420.03
10/14/21, 45796.64, 46160.10, 45779.67, 46145.41
10/13/21, 45319.99, 45470.58, 45017.79, 45388.01
10/12/21, 45336.60, 45413.60, 45110.18, 45198.96
10/11/21, 45479.06, 45790.68, 45214.27, 45219.80
10/08/21, 45752.40, 45779.92, 45491.24, 45526.24
10/07/21, 45563.20, 45953.40, 45563.20, 45655.66
10/06/21, 44675.52, 45242.75, 44489.43, 45223.41
10/05/21, 44777.25, 45287.95, 44714.55, 45061.71
10/04/21, 45112.50, 45183.62, 44405.42, 44616.60
10/01/21, 44886.21, 45418.71, 44500.75, 45232.37
09/30/21, 45360.44, 45443.37, 44704.08, 44705.79
09/29/21, 45334.81, 45489.08, 45157.72, 45194.36
09/28/21, 45811.50, 45861.75, 45129.81, 45170.54
09/27/21, 46103.06, 46289.66, 46030.47, 46151.73
09/24/21, 46024.05, 46310.26, 45997.41, 46225.29
09/23/21, 45862.87, 46365.49, 45849.55, 46203.01
09/22/21, 45402.54, 45860.13, 45342.17, 45633.60
09/21/21, 45436.84, 45567.86, 45070.04, 45177.77
09/20/21, 45271.41, 45422.72, 44631.73, 45173.57
09/17/21, 46266.86, 46349.95, 45907.10, 45995.39
09/16/21, 46355.56, 46483.96, 46043.60, 46353.04
09/15/21, 46049.36, 46452.10, 45939.06, 46393.79
09/14/21, 46452.95, 46466.42, 45919.08, 45998.00
09/13/21, 46505.61, 46527.92, 46071.58, 46297.72
09/10/21, 46796.14, 46841.91, 46189.26, 46196.95
09/09/21, 46718.64, 46929.74, 46555.77, 46562.72
09/08/21, 46809.95, 46856.30, 46531.37, 46741.19
09/07/21, 47034.65, 47034.65, 46820.90, 46863.30
09/03/21, 47013.87, 47119.55, 46946.52, 47066.22
09/02/21, 47090.04, 47153.84, 46958.90, 47089.89
09/01/21, 46983.60, 47071.15, 46882.63, 46934.27
08/31/21, 46947.97, 46965.22, 46802.00, 46882.41
08/30/21, 46884.82, 47046.22, 46817.99, 46954.24
08/27/21, 46401.75, 46838.32, 46400.94, 46795.53
08/26/21, 46573.69, 46600.04, 46290.00, 46304.40
08/25/21, 46515.41, 46660.35, 46463.53, 46597.63
08/24/21, 46420.10, 46533.30, 46390.68, 46469.71
08/23/21, 46069.26, 46403.68, 46069.26, 46317.98
08/20/21, 45505.86, 45894.90, 45470.80, 45873.86
08/19/21, 45143.18, 45613.57, 45131.01, 45463.22
08/18/21, 45863.64, 46015.14, 45465.01, 45489.04
08/17/21, 46019.23, 46067.07, 45624.62, 45958.55
08/16/21, 46131.84, 46314.53, 45921.63, 46310.98
08/13/21, 46304.14, 46311.38, 46220.33, 46280.65
08/12/21, 46124.27, 46270.28, 46016.29, 46257.92
08/11/21, 46150.39, 46150.46, 45963.74, 46142.27
08/10/21, 46064.94, 46136.13, 45982.84, 46028.87
08/09/21, 46037.80, 46084.84, 45900.28, 46005.50
08/06/21, 46040.49, 46144.40, 45971.32, 46053.93
08/05/21, 45791.58, 46002.96, 45755.08, 46001.13
08/04/21, 45734.45, 45828.26, 45651.94, 45672.81
08/03/21, 45658.33, 45893.36, 45357.47, 45888.03
08/02/21, 45841.59, 45918.63, 45530.22, 45556.86
07/30/21, 45595.33, 45869.85, 45577.09, 45637.19
07/29/21, 45819.80, 46043.06, 45819.80, 45896.93
07/28/21, 45713.00, 45864.82, 45547.92, 45704.44
07/27/21, 45748.77, 45748.77, 45294.99, 45620.06
07/26/21, 45744.89, 45876.76, 45725.92, 45873.09
07/23/21, 45564.38, 45814.56, 45467.55, 45781.53
07/22/21, 45329.53, 45368.99, 45144.59, 45326.59
07/21/21, 45031.56, 45308.10, 45028.90, 45301.15
