tw_topic_1,tw_topic_2,tw_topic_3,tw_topic_4,tw_topic_5,tw_topic_6,tw_topic_7,date
0.22954181,0.00575469,0.365572,0.005741343,0.005726196,0.09288101,0.29478297,2020-05-01
0.012990255,0.013005496,0.012990255,0.01304423,0.012999667,0.2410451,0.69392496,2020-05-02
0.012026264,0.17164305,0.5277523,0.09572614,0.011982938,0.16884886,0.01202047,2020-05-03
0.18062301,0.0057431925,0.005727007,0.12666002,0.045736138,0.005752581,0.62975806,2020-05-04
0.008475527,0.008444863,0.008436137,0.6005207,0.06734447,0.008490159,0.29828814,2020-05-05
0.0100490665,0.010049055,0.010049397,0.93966436,0.01004954,0.010085532,0.010053059,2020-05-06
0.006820034,0.006824401,0.0068119746,0.0068162773,0.006810466,0.006834901,0.959082,2020-05-07
0.014344629,0.29862365,0.52914286,0.11469156,0.014344629,0.014437089,0.014415634,2020-05-08
0.13673618,0.05674574,0.7086267,0.009145062,0.009145064,0.07045621,0.009145057,2020-05-09
0.0068660057,0.0068385294,0.006821192,0.33828536,0.10257768,0.0068396674,0.53177154,2020-05-10
0.16084066,0.47055525,0.011004635,0.011016309,0.011003405,0.32456255,0.011017201,2020-05-11
0.34931895,0.006826095,0.0068132803,0.0068205358,0.0068104225,0.115214184,0.50819653,2020-05-12
0.04773807,0.7137082,0.04762437,0.04762437,0.047634516,0.047835656,0.04783479,2020-05-13
0.103490196,0.013051334,0.8312531,0.013051336,0.013051336,0.013051334,0.013051334,2020-05-14
0.028690754,0.028690752,0.028690754,0.028821891,0.028690754,0.44786525,0.40854985,2020-05-15
0.17076376,0.00958383,0.00957483,0.15785092,0.009575832,0.6330238,0.009627022,2020-05-16
0.006824748,0.06294716,0.006823665,0.0068333074,0.0068249493,0.628615,0.2811312,2020-05-17
0.04837672,0.048376698,0.70973974,0.04837672,0.048376724,0.048376698,0.048376698,2020-05-18
0.012009056,0.012030733,0.46081662,0.012020084,0.012052925,0.4790686,0.01200198,2020-05-19
0.013008441,0.12821431,0.013011708,0.3029947,0.013011886,0.013066802,0.51669216,2020-05-20
0.007949104,0.007958759,0.007947943,0.072696365,0.007951059,0.09294354,0.8025532,2020-05-21
0.008938419,0.008971912,0.008943572,0.13900948,0.008943658,0.14064059,0.6845524,2020-05-22
0.007168438,0.0071621337,0.0071647465,0.007165223,0.0071635,0.17803814,0.7861378,2020-05-23
0.011936132,0.011943847,0.011936819,0.39889637,0.011938402,0.011980608,0.54136777,2020-05-24
0.3488124,0.0055165575,0.005510911,0.061769925,0.005510911,0.005519967,0.5673593,2020-05-25
0.14326395,0.01032368,0.010270411,0.23665056,0.010280255,0.010310907,0.5789002,2020-05-26
0.007967704,0.007966356,0.007950305,0.25383902,0.007950446,0.007960863,0.7063652,2020-05-27
0.13265228,0.086531624,0.008425224,0.008475827,0.008434148,0.008440682,0.7470403,2020-05-28
0.0075325067,0.007540513,0.0075314855,0.0075350585,0.0075315973,0.007553981,0.9547749,2020-05-29
0.14754157,0.006826909,0.006817586,0.23685032,0.0068177166,0.10021243,0.4949335,2020-05-30
0.008985724,0.009020074,0.008954822,0.008965463,0.009012608,0.5572887,0.39777258,2020-05-31
0.0131589295,0.013097998,0.5605822,0.14472435,0.013141104,0.24218838,0.013107009,2020-06-01
0.011083269,0.011127065,0.40356368,0.0110577205,0.011057721,0.5410203,0.011090299,2020-06-02
0.12688306,0.015973896,0.7932474,0.015973898,0.0159739,0.015973896,0.015973896,2020-06-03
0.15337953,0.006525703,0.055939455,0.053918976,0.00651525,0.00653276,0.7171883,2020-06-04
0.089178324,0.0059974818,0.84161174,0.005998358,0.005997483,0.04521661,0.0060000042,2020-06-05
0.011852892,0.011659923,0.10484601,0.011665493,0.45906934,0.38923785,0.011668501,2020-06-06
0.1047702,0.00804308,0.008005482,0.097594045,0.007996292,0.41754973,0.3560411,2020-06-07
0.015913887,0.17699386,0.015919374,0.74327403,0.01591967,0.015975509,0.016003646,2020-06-08
0.40659037,0.0053143506,0.00531278,0.21168634,0.051617306,0.005321656,0.3141572,2020-06-09
0.008419773,0.008434543,0.008413227,0.69202286,0.0084269615,0.008442846,0.26583982,2020-06-10
0.25706172,0.006509431,0.0065049976,0.06667158,0.0065071997,0.4731402,0.18360482,2020-06-11
0.028624631,0.02862463,0.028624631,0.3167657,0.028624631,0.02862463,0.5401112,2020-06-12
0.23620428,0.008987787,0.008978222,0.008992452,0.008975637,0.008987617,0.718874,2020-06-13
0.05532007,0.0068581193,0.006821272,0.00682631,0.0068212333,0.0068423557,0.91051066,2020-06-14
0.0065191993,0.15390648,0.006507761,0.29983017,0.19803317,0.120167345,0.21503592,2020-06-15
0.03573473,0.035778128,0.03573473,0.035831567,0.03573473,0.035855316,0.78533083,2020-06-16
0.010217927,0.010235805,0.010213823,0.01021661,0.0102155,0.010259716,0.9386406,2020-06-17
0.1970636,0.17889945,0.007159122,0.007168536,0.0071621374,0.20743239,0.39511478,2020-06-18
0.0075973654,0.0075902203,0.007583142,0.25515217,0.26830304,0.1376596,0.31611443,2020-06-19
0.008469112,0.09644479,0.008446408,0.008450804,0.06788245,0.0084621105,0.8018443,2020-06-20
0.011923876,0.17377497,0.011923453,0.26679048,0.01192398,0.011947264,0.51171595,2020-06-21
0.008429616,0.008444064,0.008429616,0.28384814,0.008431691,0.39000723,0.2924097,2020-06-22
0.15615782,0.0060200333,0.0060089813,0.0060121813,0.09220919,0.1950344,0.53855735,2020-06-23
0.20513725,0.0075468956,0.0075370753,0.06852235,0.13317698,0.18536468,0.39271477,2020-06-24
0.008413452,0.008432745,0.008413453,0.008425797,0.008415251,0.008429449,0.9494698,2020-06-25
0.0060316157,0.006011519,0.006005018,0.0060197636,0.26310602,0.70681024,0.0060158214,2020-06-26
0.010250627,0.010267274,0.010223467,0.01023092,0.010223306,0.010246918,0.9385575,2020-06-27
0.014297058,0.014340676,0.014298906,0.014299628,0.0143017955,0.91409975,0.0143622,2020-06-28
0.0476243,0.0476243,0.0476243,0.04782893,0.0476243,0.047694005,0.7139799,2020-06-29
0.087322645,0.008433946,0.008420951,0.25752106,0.008421142,0.12276469,0.50711554,2020-06-30
0.013521741,0.013336811,0.08137452,0.35727033,0.013335146,0.013352393,0.50780904,2020-07-01
0.01801215,0.018234583,0.5152216,0.018010506,0.018007666,0.018109396,0.3944041,2020-07-02
0.33362538,0.013007454,0.013004761,0.013013895,0.013065359,0.34097293,0.27331018,2020-07-03
0.017991582,0.018140776,0.7665079,0.14332215,0.017991582,0.018054437,0.017991578,2020-07-04
0.397367,0.007984785,0.007969562,0.00798475,0.007969045,0.20455341,0.36617142,2020-07-05
0.0075350553,0.0075371563,0.007530104,0.007548323,0.0075314427,0.38133228,0.58098567,2020-07-06
0.023860298,0.02390486,0.023835048,0.27210307,0.023835046,0.23511231,0.3973494,2020-07-07
0.22852229,0.21330017,0.010470361,0.0105336225,0.0104705645,0.01047903,0.51622397,2020-07-08
0.0062232586,0.006249246,0.0062228204,0.054269962,0.006239565,0.0062302737,0.9145649,2020-07-09
0.0075484114,0.0075403256,0.0075366315,0.19748786,0.0075366315,0.4836013,0.2887488,2020-07-10
0.0068309037,0.25408196,0.00682324,0.14192277,0.00682324,0.46058318,0.122934684,2020-07-11
0.13218749,0.0065489006,0.006519417,0.006566936,0.0065210424,0.3123378,0.5293184,2020-07-12
0.7765653,0.011032844,0.091048695,0.08819595,0.011046446,0.011030885,0.011079904,2020-07-13
0.017910676,0.017936012,0.017905496,0.0179774,0.017915783,0.017939402,0.8924152,2020-07-14
0.23530275,0.007994918,0.007956499,0.007963878,0.007958693,0.19534792,0.5374754,2020-07-15
0.011969225,0.011969224,0.9281604,0.011969225,0.01197414,0.011969224,0.0119885765,2020-07-16
0.2627703,0.008503195,0.0084806895,0.27175322,0.008475581,0.00851766,0.4314994,2020-07-17
0.0110142315,0.792822,0.0110142315,0.011028108,0.01101462,0.01106854,0.15203823,2020-07-18
0.006236001,0.006224542,0.0062224534,0.41779163,0.0062228115,0.55104494,0.006257651,2020-07-19
0.01021665,0.010236013,0.010216651,0.09454835,0.010216651,0.1020559,0.76250976,2020-07-20
0.11004941,0.005521978,0.005520782,0.37076986,0.005518425,0.0055612545,0.4970583,2020-07-21
0.013047928,0.6996607,0.013016345,0.013011372,0.013011372,0.23522767,0.013024535,2020-07-22
0.009544224,0.5198596,0.009544224,0.18327044,0.009544224,0.009551597,0.25868568,2020-07-23
0.009544004,0.1333612,0.009545709,0.3105256,0.07801198,0.009556625,0.44945487,2020-07-24
0.097489946,0.008462231,0.008419281,0.5655769,0.008419281,0.008439267,0.30319315,2020-07-25
0.015954338,0.0159673,0.015924785,0.015996516,0.015924785,0.26467076,0.6555615,2020-07-26
0.023830676,0.023914011,0.023823932,0.023861846,0.023824606,0.023942672,0.8568022,2020-07-27
0.014311747,0.014309271,0.014308215,0.014350357,0.014309903,0.014317531,0.914093,2020-07-28
0.009610538,0.009571477,0.009541348,0.6445188,0.07598391,0.009586583,0.2411874,2020-07-29
0.0130294785,0.013035997,0.0130235925,0.0130528435,0.0130235925,0.606351,0.32848346,2020-07-30
0.0062185354,0.006229049,0.0062189116,0.37615156,0.0062189717,0.0062402487,0.5927228,2020-07-31
0.0075467103,0.0075344024,0.007532652,0.073947184,0.06077364,0.56726974,0.2753956,2020-08-01
0.2820774,0.0075563313,0.007547583,0.17388496,0.0075478107,0.16568376,0.35570207,2020-08-02
