Date, Open, High, Low, Close
02/18/22, 0.8801, 0.8838, 0.8789, 0.8832
02/17/22, 0.8792, 0.8831, 0.8781, 0.8801
02/16/22, 0.8802, 0.8815, 0.8774, 0.8792
02/15/22, 0.8844, 0.8848, 0.8795, 0.8803
02/14/22, 0.8810, 0.8864, 0.8795, 0.8844
02/11/22, 0.8750, 0.8827, 0.8747, 0.8810
02/10/22, 0.8752, 0.8791, 0.8699, 0.8751
02/09/22, 0.8759, 0.8770, 0.8736, 0.8752
02/08/22, 0.8739, 0.8775, 0.8733, 0.8759
02/07/22, 0.8720, 0.8760, 0.8693, 0.8740
02/04/22, 0.8742, 0.8793, 0.8707, 0.8734
02/03/22, 0.8847, 0.8874, 0.8732, 0.8740
02/02/22, 0.8871, 0.8876, 0.8825, 0.8846
02/01/22, 0.8901, 0.8912, 0.8865, 0.8871
01/31/22, 0.8975, 0.8978, 0.8890, 0.8901
01/28/22, 0.8972, 0.8992, 0.8949, 0.8970
01/27/22, 0.8896, 0.8983, 0.8893, 0.8972
01/26/22, 0.8848, 0.8901, 0.8840, 0.8896
01/25/22, 0.8828, 0.8878, 0.8825, 0.8848
01/24/22, 0.8816, 0.8857, 0.8812, 0.8830
01/21/22, 0.8841, 0.8849, 0.8802, 0.8814
01/20/22, 0.8815, 0.8848, 0.8795, 0.8841
01/19/22, 0.8829, 0.8835, 0.8804, 0.8817
01/18/22, 0.8765, 0.8838, 0.8754, 0.8829
01/17/22, 0.8760, 0.8779, 0.8745, 0.8766
01/14/22, 0.8730, 0.8773, 0.8708, 0.8759
01/13/22, 0.8741, 0.8745, 0.8709, 0.8730
01/12/22, 0.8797, 0.8806, 0.8730, 0.8739
01/11/22, 0.8829, 0.8840, 0.8790, 0.8797
01/10/22, 0.8801, 0.8860, 0.8801, 0.8828
01/07/22, 0.8852, 0.8857, 0.8798, 0.8801
01/06/22, 0.8838, 0.8862, 0.8824, 0.8851
01/05/22, 0.8859, 0.8868, 0.8812, 0.8839
01/04/22, 0.8852, 0.8871, 0.8831, 0.8860
01/03/22, 0.8797, 0.8866, 0.8788, 0.8851
12/31/21, 0.8829, 0.8847, 0.8782, 0.8794
12/30/21, 0.8810, 0.8851, 0.8801, 0.8828
12/29/21, 0.8843, 0.8871, 0.8795, 0.8810
12/28/21, 0.8829, 0.8858, 0.8822, 0.8841
12/27/21, 0.8825, 0.8848, 0.8822, 0.8828
12/24/21, 0.8826, 0.8847, 0.8786, 0.8817
12/23/21, 0.8831, 0.8857, 0.8815, 0.8827
12/22/21, 0.8859, 0.8878, 0.8815, 0.8829
12/21/21, 0.8867, 0.8881, 0.8847, 0.8859
12/20/21, 0.8896, 0.8901, 0.8846, 0.8869
12/17/21, 0.8827, 0.8903, 0.8810, 0.8897
12/16/21, 0.8859, 0.8864, 0.8801, 0.8827
12/15/21, 0.8881, 0.8911, 0.8850, 0.8856
12/14/21, 0.8860, 0.8886, 0.8828, 0.8881
12/13/21, 0.8835, 0.8881, 0.8833, 0.8861
12/10/21, 0.8854, 0.8877, 0.8830, 0.8835
12/09/21, 0.8817, 0.8867, 0.8812, 0.8855
12/08/21, 0.8874, 0.8877, 0.8805, 0.8816
12/07/21, 0.8861, 0.8907, 0.8849, 0.8875
12/06/21, 0.8838, 0.8876, 0.8834, 0.8860
12/03/21, 0.8848, 0.8876, 0.8823, 0.8839
12/02/21, 0.8832, 0.8854, 0.8812, 0.8848
12/01/21, 0.8820, 0.8848, 0.8802, 0.8833
11/30/21, 0.8856, 0.8900, 0.8784, 0.8819
